flex_mnozstvi_+,flex_obchod_+,flex_cena_+,flex_mnozstvi_-,flex_obchod_-,flex_cena_-
25320.297,4534.825,0.1,-61744.476,-6442.6,0.01
11773.483,6074.005,10.0,-75685.691,0.0,0.0
15578.804,7557.627,10.0,-76233.109,0.0,0.0
34660.901,4623.959,0.01,-53066.836,-4610.547,0.01
20997.602,7587.726,0.01,-65466.781,-128.671,0.01
19416.107,5973.272,0.01,-64696.068,-223.742,0.01
46677.99,1860.0,0.01,-35525.978,-3065.741,0.01
41782.679,2472.166,0.01,-41044.617,-3305.813,0.01
26746.671,7982.495,0.01,-58087.946,-451.852,0.01
28953.193,2377.668,0.01,-54150.053,-410.97,0.01
37533.571,2780.814,0.01,-50082.915,-5538.169,0.01
48379.823,2085.068,0.01,-37853.416,-7050.989,0.01
35733.69,3748.565,0.01,-50593.011,-376.12,0.01
28047.836,3032.984,0.01,-52755.089,-320.366,0.01
48266.733,1726.586,0.01,-36146.578,-6454.472,0.01
73702.966,3182.688,0.01,-22785.888,-9598.454,5.0
87856.723,1862.204,0.01,-9614.763,-7955.454,20.0
88113.022,887.85,0.01,-7657.361,-3973.684,10.0
56632.787,588.33,0.01,-27855.099,-99.789,0.01
31282.686,3964.966,0.01,-48411.25,-155.759,0.01
20118.781,2390.719,0.1,-68067.1,-1832.677,0.01
23402.644,4587.985,1.0,-60668.244,-3969.048,0.01
21406.941,2595.346,10.0,-65975.659,-3685.576,0.01
20605.461,7490.707,10.0,-60759.238,0.0,0.0
22744.042,5120.857,0.1,-63846.599,-245.146,0.01
24209.723,556.116,0.01,-55142.831,-3.829,0.01
41314.97,256.313,0.01,-37090.007,-1076.265,0.01
46133.801,1449.347,0.01,-33803.191,-1449.435,0.01
50098.692,1765.842,0.01,-33149.093,-5709.673,0.01
39760.368,309.696,0.01,-34878.457,-1325.138,0.01
31476.033,1107.37,0.01,-45481.358,-2079.6,0.01
54547.814,97.27,0.01,-21345.066,-550.0,0.01
49026.368,279.453,0.01,-32495.804,-9873.365,0.01
22237.542,6855.502,0.01,-60610.423,-800.0,0.01
